100000, 25412, 2561, Məhsul-1, 1, 15
100001, 25414, 2563, Məhsul-2, 1, 13
100003, 25413, 2563, Məhsul-2, 3, 12
100004, 25413, 2563, Məhsul-2, 5, 2
100005, 25413, 2564, Məhsul-3, 4, 5
100006, 25412, 2564, Məhsul-3, 2, 5
100007, 25412, 2565, Məhsul-4, 2, 6
100006, 25416, 2565, Məhsul-4, 2, 9
100009, 25417, 2569, Məhsul-6, 2, 8
100010, 25418, 2561, Məhsul-1, 2, 6
100011, 25416, 2560, Məhsul-7, 2, 4
100012, 25416, 2577, Məhsul-8, 2, 6
100013, 25419, 2661, Məhsul-9, 2, 3
100014, 25420, 2571, Məhsul-10, 2, 8
100015, 25422, 2571, Məhsul-10, 2, 6
100016, 25423, 2571, Məhsul-10, 2, 4
100017, 25424, 2561, Məhsul-1, 2, 5
100018, 25422, 2551, Məhsul-11, 2, 9
100019, 25416, 2551, Məhsul-11, 2, 9
100020, 25416, 2551, Məhsul-11, 2, 7
100021, 25415, 2521, Məhsul-12, 2, 4
100022, 25416, 2571, Məhsul-10, 2, 5
100023, 25414, 2571, Məhsul-10, 2, 5
100024, 25412, 2571, Məhsul-10, 2, 5
100025, 25416, 2561, Məhsul-1, 2, 3
200000, 25412, 2561, Məhsul-1, 1, 15
200001, 25414, 2563, Məhsul-2, 1, 13
200003, 25413, 2563, Məhsul-2, 3, 12
200004, 25413, 2563, Məhsul-2, 5, 2
200005, 25413, 2564, Məhsul-3, 4, 5
200006, 25412, 2564, Məhsul-3, 2, 5
200007, 25412, 2565, Məhsul-4, 2, 6
200006, 25416, 2565, Məhsul-4, 2, 9
200009, 25417, 2569, Məhsul-6, 2, 8
200010, 25418, 2561, Məhsul-1, 2, 6
200011, 25416, 2560, Məhsul-7, 2, 4
200012, 25416, 2577, Məhsul-8, 2, 6
200013, 25419, 2661, Məhsul-9, 2, 3
200014, 25420, 2571, Məhsul-10, 2, 8
200015, 25422, 2571, Məhsul-10, 2, 6
200016, 25423, 2571, Məhsul-10, 2, 4
200017, 25424, 2561, Məhsul-1, 2, 5
200018, 25422, 2551, Məhsul-11, 2, 9
200019, 25416, 2551, Məhsul-11, 2, 9
200020, 25416, 2551, Məhsul-11, 2, 7
200021, 25415, 2521, Məhsul-12, 2, 4
200022, 25416, 2571, Məhsul-10, 2, 5
500023, 25414, 2571, Məhsul-10, 2, 5
500024, 25412, 2571, Məhsul-10, 2, 5
500025, 25416, 2561, Məhsul-1, 2, 3
